z,alpha(z),contour_alpha(z),taylor_series_alpha(z)
1.0,0.4365636569180902,0.43656365691806803,0.43656365691809035
0.1,0.1841060606535549,0.18410606065268806,0.18410606065268806
0.01,0.1683408559216559,0.1683408556052482,0.16834085560524814
0.001,0.16683365799963212,0.1668334083555605,0.1668334083555605
0.0001,0.16697754290362352,0.16668333408335562,0.16668333408335553
1e-05,0.0,0.16666833334083334,0.16666833334083334
1e-06,0.0,0.16666683333340826,0.1666668333334083
1e-07,0.0,0.166666683333334,0.16666668333333404
1e-08,0.0,0.1666666683333334,0.1666666683333333
1e-09,0.0,0.1666666668333333,0.1666666668333333
1e-10,0.0,0.16666666668333335,0.1666666666833333
1e-11,0.0,0.1666666666683333,0.1666666666683333
1e-12,0.0,0.16666666666683333,0.1666666666668333
1e-13,-8.881784197001252e+23,0.1666666666666833,0.16666666666668328
1e-14,0.0,0.16666666666666824,0.1666666666666683
1e-15,0.0,0.16666666666666685,0.1666666666666668
