z,f(z),taylor_series(z)
1.0,1.718281828459045,1.7182818284590455
0.1,1.0517091807564771,1.0517091807564762
0.01,1.005016708416795,1.0050167084168056
0.001,1.0005001667083846,1.0005001667083417
0.0001,1.000050001667141,1.0000500016667084
1e-05,1.000005000006965,1.0000050000166667
1e-06,1.0000004999621837,1.0000005000001668
1e-07,1.0000000494336803,1.0000000500000017
1e-08,0.999999993922529,1.000000005
1e-09,1.000000082740371,1.0000000005
1e-10,1.000000082740371,1.00000000005
1e-11,1.000000082740371,1.000000000005
1e-12,1.000088900582341,1.0000000000005
1e-13,0.9992007221626409,1.00000000000005
1e-14,0.9992007221626409,1.000000000000005
1e-15,1.1102230246251565,1.0000000000000004
