z,gamma(z),taylor_series_gamma(z)
1.0,0.15484548537713572,0.1548454853771357
0.1,0.16658049502638048,0.16658049502573674
0.01,0.16666583046998082,0.16666583054959322
0.001,0.1666666804567285,0.16666665833055494
0.0001,0.1660893644839234,0.1666666665833305
1e-05,0.0,0.1666666666658333
1e-06,-888.1784197001253,0.1666666666666583
1e-07,0.0,0.16666666666666655
1e-08,0.0,0.16666666666666663
1e-09,0.0,0.16666666666666663
1e-10,0.0,0.16666666666666663
1e-11,0.0,0.16666666666666663
1e-12,0.0,0.16666666666666663
1e-13,-8.881784197001252e+23,0.16666666666666663
1e-14,-8.881784197001251e+26,0.16666666666666663
1e-15,8.88178419700125e+29,0.16666666666666663
